# eto sig
4.373354757083738019e-03 4.996406390299457598e+02
4.415071757083737294e-03 4.996033093814023118e+02
4.460397757083737341e-03 4.996199442488476166e+02
4.495133757083737830e-03 4.996262317257437076e+02
4.535965090417070841e-03 4.996441600170076640e+02
4.583788757083737814e-03 4.997291667046437169e+02
4.625038757083737434e-03 4.997526639040155487e+02
4.668574423750404545e-03 4.997637298633528644e+02
4.714579757083737707e-03 4.996568427561181238e+02
4.753928423750403837e-03 4.996634895174083795e+02
4.796933090417070285e-03 4.997111306280615963e+02
4.844316757083738136e-03 4.997436099372851572e+02
4.884795757083737651e-03 4.996415731693703037e+02
4.930598423750404136e-03 4.995462190911852645e+02
4.975279090417071386e-03 4.995347219905750649e+02
5.013018423750403851e-03 4.994060263206206400e+02
5.053246090417071353e-03 4.994492482332267969e+02
5.101680090417071330e-03 4.993888525265842873e+02
5.140471757083737471e-03 4.993140495157397822e+02
5.190281090417071114e-03 4.993131872331940144e+02
5.232034090417071390e-03 4.992712228159670644e+02
5.278827090417071224e-03 4.992406117855926482e+02
5.322241757083737840e-03 4.992036773498825823e+02
5.370374423750404365e-03 4.991256767079308929e+02
5.407882757083736988e-03 4.990499036292223423e+02
5.455411423750403978e-03 4.989024533138976381e+02
5.503663423750404342e-03 4.987845002473257523e+02
5.542883090417071584e-03 4.988451115246047607e+02
5.589320757083737767e-03 4.988503211483186419e+02
5.636494423750404263e-03 4.988334707102369521e+02
5.668267090417070803e-03 4.987874823077964948e+02
5.718841423750404239e-03 4.987399130540221677e+02
5.760159090417071338e-03 4.987816259721732308e+02
5.796763757083737631e-03 4.988621775333228356e+02
5.844339090417071010e-03 4.989220702418136284e+02
5.884518090417070572e-03 4.988546325610474241e+02
5.923900423750404730e-03 4.988891597913171836e+02
5.970416423750403781e-03 4.987476376684945762e+02
6.016792423750404531e-03 4.987680090936381703e+02
6.066154423750404374e-03 4.986665831091933114e+02
6.113288757083737424e-03 4.987066433191316719e+02
6.158492757083738368e-03 4.986976252808405548e+02
6.211925090417070618e-03 4.986441996914429637e+02
6.249790423750404417e-03 4.986810263418347517e+02
6.300005757083737730e-03 4.987350627147022237e+02
6.340393423750404281e-03 4.985540552369718057e+02
6.385437423750404441e-03 4.985566061561696642e+02
6.433147757083737886e-03 4.985195998635808223e+02
6.476906757083737004e-03 4.986302235285137954e+02
6.522796423750404533e-03 4.986288223193769227e+02
6.564979757083738016e-03 4.986310498826201751e+02
6.610819757083737265e-03 4.985650493394302316e+02
6.653371757083737653e-03 4.984847133489170687e+02
6.693498757083737698e-03 4.984520543974964539e+02
6.739139090417070425e-03 4.984907852551767746e+02
6.778193423750403755e-03 4.985998999256545403e+02
6.829883423750404692e-03 4.985964507954716396e+02
6.864405423750404196e-03 4.986239001231782595e+02
6.909520757083737440e-03 4.985812530656025956e+02
6.953583423750404717e-03 4.986317684514082771e+02
7.001396090417070540e-03 4.986833616903961683e+02
7.041239757083737200e-03 4.988328239983276831e+02
